ID#,APN,Street Address,Auction Type,City,Postal Code,Tax Rate Area,Land Value,Improvements,Total Assessed Value,Assessed Value Year,Property Description,Timeshare Association,Your Max Bid,Opening Bid,Best Bid,Status,Close(PDT),Canceled
2038,1854803334,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,080.00 ", $ 720.00 ," $ 1,800.00 ",2025,US2351/34 ANNUAL EXCL USE 1BDRM VILLA UNIT&1/1872 UND INT LOT 8,Lawrence Welk Ctr San Diego,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:15:00,
2039,1854804228,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,080.00 ", $ 720.00 ," $ 1,800.00 ",2025,US1402/28 ANNUAL EXCL USE 1BDRM SUITE UNIT&1/1872 UND INT LOT 8,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2040,1854810309,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,167.00 ", $ 777.00 ," $ 1,944.00 ",2025,US2021/09 ANNUAL EXCL USE 2 BDRM SUITE UNIT&1/208 UND INT LOT 1,Lawrence Welk Ctr San Diego,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:15:00,
2041,1854811334,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,909.00 "," $ 1,060.00 "," $ 2,969.00 ",2025,US206/34  ANNUAL EXCL USE 2BDRM DELUXE VILLA UNIT&UND INT LOT 2,Lawrence Welk Ctr San Diego,   - ," $ 1,800.00 ",   - , - ,03/18/2026 08:15:00,
2043,1854815503,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,080.00 ", $ 720.00 ," $ 1,800.00 ",2025,US3252/03 ANNUAL EXCL USE 1BDRM SUITE UNIT&1/1248 UND INT LOT 5,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2044,1854816833,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,080.00 ", $ 720.00 ," $ 1,800.00 ",2025,US2101/33 ANNUAL EXCL USE 1BDRM VILLA UNIT&1/1872 UND INT LOT 3,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2045,1854817618,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,909.00 "," $ 1,060.00 "," $ 2,969.00 ",2025,US313/18 ANNUAL EXCL USE 2BDRM DELUXE VILLA&1/936 UND INT LOT 3,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:15:00,
2046,1854820812,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,080.00 ", $ 720.00 ," $ 1,800.00 ",2025,US2311/12 ANNUAL EXCL USE 1BDRM VILLA UNIT&1/1248INT LOT6 LOT 7,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2047,1854821113,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,080.00 ", $ 720.00 ," $ 1,800.00 ",2025,US2321/13 ANNUAL EXCL USE 1BDRM VILLA UNIT&1/1248INT LOT6 LOT 7,Lawrence Welk Ctr San Diego,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:15:00,
2050,1854824019,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,322.00 ", $ 877.00 ," $ 2,199.00 ",2025,US1422/19 ANNUAL EXCL USE 1BDRM SUITE UNIT&1/1248 UND INT LOT 9,Lawrence Welk Ctr San Diego,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:15:00,
2051,1854824550,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,317.00 ", $ 877.00 ," $ 2,194.00 ",2025,US3422/50 ANNUAL EXCL USE 1BDRM SUITE UNIT&1/1248 UND INT LOT 9,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2052,1854826204,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,317.00 ", $ 877.00 ," $ 2,194.00 ",2025,US3471/04 ANNUAL EXCL USE 1 BDRM VILLA UNIT&INT IN LOT 9 LOT 10,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2053,1854827322,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,909.00 "," $ 1,060.00 "," $ 2,969.00 ",2025,US349/22 ANNUAL EXCL USE 2BDRM DELUXE VILLA&UND INT LOT9 LOT 10,Lawrence Welk Ctr San Diego,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:15:00,
2054,1854831521,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,272.00 ", $ 848.00 ," $ 2,120.00 ",2025,US107-O/21ODD YR EXCL USE 2BDRM DELUXE VILLA UNIT&UND INT LOT 2,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:15:00,
2055,1854834501,FAIRWAY HILL ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 540.00 , $ 360.00 , $ 900.00 ,2025,US1231-O/01 ODD YEAR EXCL USE 1BDRM VILLA UNIT&UND INT IN LOT 5,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2058,1854837447,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1141-O/47 ODD YEAR EXCL USE 1BDRM VILLA UNIT&UND INT IN LOT 3,Lawrence Welk Ctr San Diego,   - , $ 100.00 ,   - , - ,03/18/2026 08:30:00,
2059,1854838737,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US2132-O/37 ODD YEAR EXCL USE 1BDRM SUITE UNIT&UND INT IN LOT 3,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2060,1854844618,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 656.00 , $ 436.00 ," $ 1,092.00 ",2025,US1232-E/18 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&UND INT I LOT 5,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2061,1854844648,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1232-E/48 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&UND INT I LOT 5,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2062,1854845110,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105," $ 1,272.00 ", $ 848.00 ," $ 2,120.00 ",2025,US126-E/10 EVEN YR EXCL USE2BDRM DELUXE VILLA UNIT&UND IN LOT 5,Lawrence Welk Ctr San Diego,   - ," $ 1,600.00 ",   - , - ,03/18/2026 08:30:00,
2063,1854846230,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1091-E/30 EVEN YEAR EXCL USE 1BDRM VILLA UNIT&UND INT LOT 3,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2064,1854846425,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1102-E/25 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&UND INT LOT 3,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2065,1854848747,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US2132-E/47 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&UND INT LOT 3,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2066,1854850413,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1331-O/13 ODD YEAR EXCL USE 1BDRM VILLA UNIT&INT LOT 6& LOT 7,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2067,1854850611,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1342-O/11 ODD YEAR EXCL USE 1BDRM SUITE UNIT&INT LOT 6& LOT 7,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2068,1854851638,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1281-O/38 ODD YEAR EXCL USE 1BDRM VILLA UNIT&INT LOT 5& LOT 6,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2070,1854857106,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US3482-O/06 ODD YEAR EXCL USE 1BDRM SUITE UNIT&INT LOT 9 LOT 10,Lawrence Welk Ctr San Diego,   - , $ 100.00 ,   - , - ,03/18/2026 08:30:00,
2071,1854860616,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1342-E/16 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&INT LOT 6 LOT 7,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,REDEEMED
2072,1854861620,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1281-E/20 EVEN YEAR EXCL USE 1BDRM VILLA UNIT&INT LOT 5 LOT 6,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2073,1854865544,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1462-E/44 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&INT LOT9 LOT 10,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2074,1854865649,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1461-E/49 EVEN YEAR EXCL USE 1BDRM VILLA UNIT&INT LOT9 LOT 10,Lawrence Welk Ctr San Diego,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2075,1854867251,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 656.00 , $ 436.00 ," $ 1,092.00 ",2025,US3481-E/51 EVEN YEAR EXCL USE 1BDRM VILLA UNIT&INT LOT9 LOT 10,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2076,1854882630,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1352-E/30 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&UND INT LOT 8,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2077,1854882636,FAIRWAY HILL CIR ESCONDIDO CA 92026,Timeshare Property,ESCONDIDO,92026,94105, $ 583.00 , $ 388.00 , $ 971.00 ,2025,US1352-E/36 EVEN YEAR EXCL USE 1BDRM SUITE UNIT&UND INT LOT 8,Lawrence Welk Ctr San Diego,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2078,2032530313,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 654.00 , $ 436.00 ," $ 1,090.00 ",2025,US103TIMESHARE USE PERIOD 13DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:30:00,
2079,2032530401,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 2,614.00 "," $ 1,704.00 "," $ 4,318.00 ",2025,US104TIMESHARE USE PERIOD 01DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:30:00,
2080,2032530420,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US104TIMESHARE USE PERIOD 20DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:30:00,
2081,2032530509,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US105TIMESHARE USE PERIOD 09DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:30:00,
2082,2032530738,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 2,675.00 "," $ 1,781.00 "," $ 4,456.00 ",2025,US107TIMESHARE USE PERIOD 38DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:30:00,
2083,2032530825,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,519.00 "," $ 2,448.00 "," $ 5,967.00 ",2025,US108TIMESHARE USE PERIOD 25DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2084,2032530843,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US108TIMESHARE USE PERIOD 43DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:45:00,
2085,2032530908,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US109TIMESHARE USE PERIOD 08DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2086,2032531106,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 2,045.00 "," $ 1,362.00 "," $ 3,407.00 ",2025,US111TIMESHARE USE PERIOD 06DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:45:00,
2087,2032531207,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US112TIMESHARE USE PERIOD 07DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:45:00,
2089,2032531605,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,670.00 "," $ 2,814.00 "," $ 6,484.00 ",2025,US116TIMESHARE USE PERIOD 05DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,000.00 ",   - , - ,03/18/2026 08:45:00,
2090,2032531806,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US118TIMESHARE USE PERIOD 06DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:45:00,
2091,2032531809,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US118TIMESHARE USE PERIOD 09DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2092,2032531817,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US118TIMESHARE USE PERIOD 17DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2093,2032531842,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US118TIMESHARE USE PERIOD 42DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:45:00,
2094,2032531844,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US118TIMESHARE USE PERIOD 44DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2095,2032532410,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US204TIMESHARE USE PERIOD 10DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2096,2032532415,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US204TIMESHARE USE PERIOD 15DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2097,2032532501,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 4,174.00 "," $ 2,781.00 "," $ 6,955.00 ",2025,US205TIMESHARE USE PERIOD 01DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,000.00 ",   - , - ,03/18/2026 08:45:00,
2098,2032532740,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US207TIMESHARE USE PERIOD 40DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,800.00 ",   - , - ,03/18/2026 08:45:00,
2099,2032532846,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 1,587.00 "," $ 1,219.00 "," $ 2,806.00 ",2025,US208TIMESHARE USE PERIOD 46DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:45:00,
2100,2032533148,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US211TIMESHARE USE PERIOD 48DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 08:45:00,
2101,2032533246,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US212TIMESHARE USE PERIOD 46DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:45:00,
2102,2032533250,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 4,123.00 "," $ 1,846.00 "," $ 5,969.00 ",2025,US212TIMESHARE USE PERIOD 50DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2103,2032533350,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,903.00 "," $ 2,601.00 "," $ 6,504.00 ",2025,US213TIMESHARE USE PERIOD 50DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,000.00 ",   - , - ,03/18/2026 08:45:00,
2105,2032533707,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 2,400.00 "," $ 1,600.00 "," $ 4,000.00 ",2025,US217TIMESHARE USE PERIOD 07DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,000.00 ",   - , - ,03/18/2026 08:45:00,
2106,2032533713,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US217TIMESHARE USE PERIOD 13DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 08:45:00,
2107,2032534405,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 4,120.00 "," $ 1,846.00 "," $ 5,966.00 ",2025,US304TIMESHARE USE PERIOD 05DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2108,2032534805,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 2,569.00 "," $ 1,709.00 "," $ 4,278.00 ",2025,US308TIMESHARE USE PERIOD 05DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,700.00 ",   - , - ,03/18/2026 08:45:00,
2109,2032535148,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US311TIMESHARE USE PERIOD 48DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 08:45:00,
2110,2032535233,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 8,200.00 "," $ 2,448.00 "," $ 10,648.00 ",2025,US312TIMESHARE USE PERIOD 33DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,400.00 ",   - , - ,03/18/2026 09:00:00,
2112,2032535506,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US315TIMESHARE USE PERIOD 06DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 09:00:00,
2113,2032535802,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US318TIMESHARE USE PERIOD 02DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 09:00:00,
2114,2032540306,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US123TIMESHARE USE PERIOD 06DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 09:00:00,
2115,2032540548,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US125TIMESHARE USE PERIOD 48DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 09:00:00,
2116,2032540601,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US126TIMESHARE USE PERIOD 01DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 09:00:00,
2117,2032540915,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US129TIMESHARE USE PERIOD 15DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 09:00:00,
2118,2032540941,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 3,478.00 "," $ 2,316.00 "," $ 5,794.00 ",2025,US129TIMESHARE USE PERIOD 41DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,900.00 ",   - , - ,03/18/2026 09:00:00,
2119,2032541406,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US134TIMESHARE USE PERIOD 06DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,400.00 ",   - , - ,03/18/2026 09:00:00,
2120,2032541505,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098, $ 636.00 , $ 424.00 ," $ 1,060.00 ",2025,US135TIMESHARE USE PERIOD 05DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 1,500.00 ",   - , - ,03/18/2026 09:00:00,
2121,2032541603,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 2,400.00 "," $ 1,600.00 "," $ 4,000.00 ",2025,US136TIMESHARE USE PERIOD 03DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,000.00 ",   - , - ,03/18/2026 09:00:00,
2122,2032541621,CARLSBAD INN TIMESHARE CARLSBAD CA 92008,Timeshare Property,CARLSBAD,92008,09098," $ 4,040.00 "," $ 2,690.00 "," $ 6,730.00 ",2025,US136TIMESHARE USE PERIOD 21DOC85-216356&UND INT IN LOT 1,Carlsbad Inn,   - ," $ 2,000.00 ",   - , - ,03/18/2026 09:00:00,
